name,url,urlname,members,city,rating,query,lat,lon,country,past_events_count,organizer_count,primary_organizer,last_event_date,has_upcoming_events,events_url,leaders_url,days_since_last_event
PyData Eindhoven,https://www.meetup.com/pydata-eindhoven,pydata-eindhoven,1158,Eindhoven,4.7,Eindhoven,51.4392648,5.478633,Nederland,20,11.0,Gareth Thomas,2025-12-09T07:00:00+01:00[Europe/Amsterdam],True,https://www.meetup.com/pydata-eindhoven/events/,https://www.meetup.com/pydata-eindhoven/members/?op=leaders,98.0
PyData Madrid,https://www.meetup.com/pydata-madrid,pydata-madrid,2157,Madrid,4.8,Madrid,40.416782,-3.703507,España,53,7.0,"NumFOCUS, Inc.",2026-02-19T18:00:00+01:00[Europe/Madrid],True,https://www.meetup.com/pydata-madrid/events/,https://www.meetup.com/pydata-madrid/members/?op=leaders,26.0
Copenhagen Julia Meetup Group,https://www.meetup.com/copenhagen-julia-meetup-group,copenhagen-julia-meetup-group,226,Copenhagen,4.8,"Copenhagen, Denmark",55.6867243,12.5700724,Danmark,8,3.0,Mikkel Paltorp,2025-06-18T15:45:00+02:00[Europe/Copenhagen],False,https://www.meetup.com/copenhagen-julia-meetup-group/events/,https://www.meetup.com/copenhagen-julia-meetup-group/members/?op=leaders,272.0
PyData Copenhagen,https://www.meetup.com/PyData-Copenhagen,PyData-Copenhagen,2706,Copenhagen,4.7,Copenhagen,55.6867243,12.5700724,Danmark,53,,"NumFOCUS, Inc.",2025-12-09T10:30:00+01:00[Europe/Copenhagen],False,https://www.meetup.com/PyData-Copenhagen/events/,https://www.meetup.com/PyData-Copenhagen/members/?op=leaders,98.0
PyData Stockholm,https://www.meetup.com/pydatastockholm,pydatastockholm,1689,Stockholm,4.7,Stockholm,59.3251172,18.0710935,Sverige,28,9.0,Jim Dowling,2025-12-09T10:30:00+01:00[Europe/Stockholm],False,https://www.meetup.com/pydatastockholm/events/,https://www.meetup.com/pydatastockholm/members/?op=leaders,98.0
"Datenanalyse, Data Science und Statistik - PyData Dortmund",https://www.meetup.com/datenanalyse-dortmund-pydata,datenanalyse-dortmund-pydata,153,Dortmund,4.2,"Dortmund, Germany",51.5142273,7.4652789,Deutschland,15,3.0,Dominik Schütgens,2025-12-18T17:30:00+01:00[Europe/Berlin],False,https://www.meetup.com/datenanalyse-dortmund-pydata/events/,https://www.meetup.com/datenanalyse-dortmund-pydata/members/?op=leaders,89.0
PyData Hamburg,https://www.meetup.com/PyData-Hamburg,PyData-Hamburg,2461,Hamburg,4.6,Hamburg,53.550341,10.000654,Deutschland,43,6.0,"NumFOCUS, Inc.",2025-12-09T10:30:00+01:00[Europe/Berlin],False,https://www.meetup.com/PyData-Hamburg/events/,https://www.meetup.com/PyData-Hamburg/members/?op=leaders,98.0
PyData Rhein-Main - Artificial Intelligence in Python,https://www.meetup.com/pydata-rhein-main,pydata-rhein-main,1731,Frankfurt,4.6,"Frankfurt, Germany",50.1106444,8.6820917,Deutschland,18,3.0,Alexander C. S. Hendorf,2025-12-09T10:30:00+01:00[Europe/Berlin],False,https://www.meetup.com/pydata-rhein-main/events/,https://www.meetup.com/pydata-rhein-main/members/?op=leaders,98.0
PyData Malaga,https://www.meetup.com/pydata-malaga,pydata-malaga,431,Málaga,4.9,Malaga,36.7213028,-4.4216366,España,10,4.0,Frank Kelly,2025-12-09T10:30:00+01:00[Europe/Madrid],False,https://www.meetup.com/pydata-malaga/events/,https://www.meetup.com/pydata-malaga/members/?op=leaders,98.0
PyData Südwest - Artificial Intelligence in Python,https://www.meetup.com/pydata-suedwest,pydata-suedwest,1800,Heidelberg,4.8,"Heidelberg, Germany",49.4093582,8.694724,Deutschland,39,6.0,Alexander C. S. Hendorf,2025-12-09T10:30:00+01:00[Europe/Berlin],False,https://www.meetup.com/pydata-suedwest/events/,https://www.meetup.com/pydata-suedwest/members/?op=leaders,98.0
PyData GRX,https://www.meetup.com/pydatagrx,pydatagrx,685,Granada,4.9,"Granada, Spain",37.1734995,-3.5995337,España,17,11.0,Manuel,2026-02-17T17:30:00+01:00[Europe/Madrid],False,https://www.meetup.com/pydatagrx/events/,https://www.meetup.com/pydatagrx/members/?op=leaders,28.0
PyData Helsinki,https://www.meetup.com/pydatahelsinki,pydatahelsinki,921,Helsinki,4.8,Helsinki,60.1666204,24.9435408,Suomi / Finland,14,7.0,Jouni Seppänen,2026-02-26T15:30:00+02:00[Europe/Helsinki],True,https://www.meetup.com/pydatahelsinki/events/,https://www.meetup.com/pydatahelsinki/members/?op=leaders,19.0
PyData Berlin,https://www.meetup.com/PyData-Berlin,PyData-Berlin,9524,Berlin,4.6,Berlin,52.5173885,13.3951309,Deutschland,139,20.0,"NumFOCUS, Inc.",2026-03-11T17:45:00+01:00[Europe/Berlin],False,https://www.meetup.com/PyData-Berlin/events/,https://www.meetup.com/PyData-Berlin/members/?op=leaders,6.0
PyData Tallinn,https://www.meetup.com/pydata-tallinn,pydata-tallinn,528,Tallinn,4.7,Tallinn,59.437242,24.7572693,Eesti,7,3.0,Isaac Chung,2025-11-26T16:00:00+02:00[Europe/Tallinn],True,https://www.meetup.com/pydata-tallinn/events/,https://www.meetup.com/pydata-tallinn/members/?op=leaders,111.0
PyData Valencia,https://www.meetup.com/pydata-valencia,pydata-valencia,139,Valencia,4.9,Valencia,39.4697065,-0.3763353,España,3,5.0,"NumFOCUS, Inc.",2025-12-09T10:30:00+01:00[Europe/Madrid],False,https://www.meetup.com/pydata-valencia/events/,https://www.meetup.com/pydata-valencia/members/?op=leaders,98.0
PyData Zurich,https://www.meetup.com/PyData-Zurich,PyData-Zurich,1978,Zürich,4.5,Zurich,47.3744489,8.5410422,Schweiz/Suisse/Svizzera/Svizra,32,6.0,Titus von Köller,2025-12-10T17:00:00+01:00[Europe/Zurich],False,https://www.meetup.com/PyData-Zurich/events/,https://www.meetup.com/PyData-Zurich/members/?op=leaders,97.0
PyData Valais,https://www.meetup.com/pydata-valais,pydata-valais,209,Sion,4.7,Valais,46.2303063,7.6605757,Schweiz/Suisse/Svizzera/Svizra,3,4.0,Raphaël Lüthi,2025-10-01T15:45:00+02:00[Europe/Zurich],False,https://www.meetup.com/pydata-valais/events/,https://www.meetup.com/pydata-valais/members/?op=leaders,167.0
PyData Trojmiasto,https://www.meetup.com/PyData-Trojmiasto,PyData-Trojmiasto,1624,Gdansk,4.7,"Gdansk, Poland",54.3482907,18.6540233,Polska,48,5.0,P. Stoworowicz,2026-02-18T17:00:00+01:00[Europe/Warsaw],True,https://www.meetup.com/PyData-Trojmiasto/events/,https://www.meetup.com/PyData-Trojmiasto/members/?op=leaders,27.0
PyData Eivissa/Ibiza,https://www.meetup.com/pydata-eivissa-ibiza,pydata-eivissa-ibiza,117,Eivissa,4.8,Eivissa/Ibiza,38.9743901,1.4197463,España,3,4.0,Juan Luis Cano,2025-06-04T17:00:00+02:00[Europe/Madrid],False,https://www.meetup.com/pydata-eivissa-ibiza/events/,https://www.meetup.com/pydata-eivissa-ibiza/members/?op=leaders,286.0
PyData Bydgoszcz,https://www.meetup.com/pydata-bydgoszcz,pydata-bydgoszcz,854,Bydgoszcz,4.8,Bydgoszcz,53.1219648,18.0002529,Polska,38,6.0,PyData Bydgoszcz,2025-10-28T17:00:00+01:00[Europe/Warsaw],False,https://www.meetup.com/pydata-bydgoszcz/events/,https://www.meetup.com/pydata-bydgoszcz/members/?op=leaders,140.0
PyData Munich,https://www.meetup.com/PyData-Munchen,PyData-Munchen,3724,München,4.5,Munich,48.1371079,11.5753822,Deutschland,67,4.0,Saloua Litayem,2025-12-09T10:30:00+01:00[Europe/Berlin],False,https://www.meetup.com/PyData-Munchen/events/,https://www.meetup.com/PyData-Munchen/members/?op=leaders,98.0
PyData Prague,https://www.meetup.com/PyData-Prague,PyData-Prague,2324,Prague,4.7,Prague,50.0874654,14.4212535,Česko,43,7.0,Ondřej Kokeš,2026-03-10T17:00:00+01:00[Europe/Prague],False,https://www.meetup.com/PyData-Prague/events/,https://www.meetup.com/PyData-Prague/members/?op=leaders,7.0
PyData Milano,https://www.meetup.com/pydata-milano,pydata-milano,1247,Milano,4.7,Milano,45.4641943,9.1896346,Italia,23,8.0,Pietro Peterlongo,2026-02-18T17:30:00+01:00[Europe/Rome],True,https://www.meetup.com/pydata-milano/events/,https://www.meetup.com/pydata-milano/members/?op=leaders,27.0
PyData Warsaw,https://www.meetup.com/PyData-Warsaw,PyData-Warsaw,4559,Warsaw,4.6,Warsaw,52.2333742,21.0711489,Polska,57,7.0,"NumFOCUS, Inc.",2026-01-28T17:00:00+01:00[Europe/Warsaw],False,https://www.meetup.com/PyData-Warsaw/events/,https://www.meetup.com/PyData-Warsaw/members/?op=leaders,48.0
PyData Venice,https://www.meetup.com/pydata-venice,pydata-venice,1194,Venezia,4.5,Venice,45.4371908,12.3345898,Italia,27,4.0,Fabio Lamanna,2026-02-26T18:00:00+01:00[Europe/Rome],True,https://www.meetup.com/pydata-venice/events/,https://www.meetup.com/pydata-venice/members/?op=leaders,19.0
PyData Natal,https://www.meetup.com/pydata-natal,pydata-natal,509,Natal,4.9,Natal,-5.805398,-35.2080905,Brasil,6,6.0,Mariana Queiroz,2026-02-26T22:00:00-03:00[America/Fortaleza],False,https://www.meetup.com/pydata-natal/events/,https://www.meetup.com/pydata-natal/members/?op=leaders,19.0
PyData Slovakia & Bratislava,https://www.meetup.com/pydata-slovakia-bratislava,pydata-slovakia-bratislava,327,Bratislava,4.7,Slovakia & Bratislava,48.1559178,17.1313541,Slovensko,40,4.0,Radovan Kavicky,2025-12-09T10:30:00+01:00[Europe/Bratislava],False,https://www.meetup.com/pydata-slovakia-bratislava/events/,https://www.meetup.com/pydata-slovakia-bratislava/members/?op=leaders,98.0
PyData Ljubljana Meetup,https://www.meetup.com/PyData-Slovenia-Meetup,PyData-Slovenia-Meetup,687,Ljubljana,4.6,Ljubljana,46.0500268,14.5069289,Slovenija,20,4.0,Andrey Vykhodtsev,2025-12-09T10:30:00+01:00[Europe/Ljubljana],False,https://www.meetup.com/PyData-Slovenia-Meetup/events/,https://www.meetup.com/PyData-Slovenia-Meetup/members/?op=leaders,98.0
PyData Roma Capitale,https://www.meetup.com/pydata-roma-capitale,pydata-roma-capitale,249,Roma,4.8,Roma Capitale,41.8933203,12.4829321,Italia,8,8.0,Egon Ferri,2026-02-26T17:00:00+01:00[Europe/Rome],True,https://www.meetup.com/pydata-roma-capitale/events/,https://www.meetup.com/pydata-roma-capitale/members/?op=leaders,19.0
PyData Rome,https://www.meetup.com/pydata-rome,pydata-rome,276,Roma,4.8,Rome,41.8933203,12.4829321,Italia,8,,Luigi Selmi,2025-01-21T17:30:00+01:00[Europe/Rome],False,https://www.meetup.com/pydata-rome/events/,https://www.meetup.com/pydata-rome/members/?op=leaders,420.0
PyData Beograd,https://www.meetup.com/pydata-beograd,pydata-beograd,130,Belgrade,,Beograd,44.8153318,20.4456588,Србија,1,,Aleksandr Zverianskii,2024-01-31T17:00:00+01:00[Europe/Belgrade],False,https://www.meetup.com/pydata-beograd/events/,https://www.meetup.com/pydata-beograd/members/?op=leaders,776.0
PyData Cluj-Napoca,https://www.meetup.com/PyData-Cluj-Napoca,PyData-Cluj-Napoca,765,Cluj-Napoca,4.8,Cluj-Napoca,46.769379,23.5899542,România,39,3.0,Sebastian Breştin,2025-12-09T10:30:00+02:00[Europe/Bucharest],False,https://www.meetup.com/PyData-Cluj-Napoca/events/,https://www.meetup.com/PyData-Cluj-Napoca/members/?op=leaders,98.0
PyData Conakry,https://www.meetup.com/pydata-conakry,pydata-conakry,111,Conakry,,Conakry,9.5170602,-13.6998434,Guinée,0,3.0,Abdoulaye Balde,,False,https://www.meetup.com/pydata-conakry/events/,https://www.meetup.com/pydata-conakry/members/?op=leaders,
PyData Sibiu,https://www.meetup.com/pydata-sibiu-meetup-group,pydata-sibiu-meetup-group,156,Sibiu,4.9,Sibiu,45.7973912,24.1519202,România,11,3.0,Iulian Cozma,2025-07-24T16:00:00+03:00[Europe/Bucharest],False,https://www.meetup.com/pydata-sibiu-meetup-group/events/,https://www.meetup.com/pydata-sibiu-meetup-group/members/?op=leaders,236.0
PyData Belo Horizonte,https://www.meetup.com/PyData-Belo-Horizonte,PyData-Belo-Horizonte,1834,Belo Horizonte,4.8,Belo Horizonte,-19.9227318,-43.9450948,Brasil,44,5.0,Andre ROCHA,2025-12-09T10:30:00-03:00[America/Sao_Paulo],False,https://www.meetup.com/PyData-Belo-Horizonte/events/,https://www.meetup.com/PyData-Belo-Horizonte/members/?op=leaders,98.0
PyData Skopje,https://www.meetup.com/PyData-Skopje,PyData-Skopje,868,Skopje,5.0,Skopje,41.9961816,21.4319213,Северна Македонија,26,6.0,novica,2026-02-25T17:00:00+01:00[Europe/Skopje],False,https://www.meetup.com/PyData-Skopje/events/,https://www.meetup.com/PyData-Skopje/members/?op=leaders,20.0
PyData São Paulo,https://www.meetup.com/PyData-Sao-Paulo,PyData-Sao-Paulo,8050,São Paulo,4.7,São Paulo,-23.5506507,-46.6333824,Brasil,72,6.0,Ricardo Manhães Savii,2025-12-09T10:30:00-03:00[America/Sao_Paulo],False,https://www.meetup.com/PyData-Sao-Paulo/events/,https://www.meetup.com/PyData-Sao-Paulo/members/?op=leaders,98.0
PyData Sofia,https://www.meetup.com/pydata-sofia,pydata-sofia,666,Sofia,4.5,Sofia,42.6977028,23.3217359,България,23,4.0,Yasen Kiprov,2025-05-12T15:00:00+03:00[Europe/Sofia],True,https://www.meetup.com/pydata-sofia/events/,https://www.meetup.com/pydata-sofia/members/?op=leaders,309.0
PyData Bucharest,https://www.meetup.com/pydata-bucharest,pydata-bucharest,19,Bucharest,, Bucharest,44.4361414,26.102684,România,1,,"NumFOCUS, Inc.",2025-12-09T10:30:00+02:00[Europe/Bucharest],False,https://www.meetup.com/pydata-bucharest/events/,https://www.meetup.com/pydata-bucharest/members/?op=leaders,98.0
PyData RJ,https://www.meetup.com/PyData-Rio,PyData-Rio,859,Rio de Janeiro,4.9,"Rio de Janeiro, Brazil",-22.9110137,-43.2093727,Brasil,12,,Marina Mattos,2025-12-09T10:30:00-03:00[America/Sao_Paulo],False,https://www.meetup.com/PyData-Rio/events/,https://www.meetup.com/PyData-Rio/members/?op=leaders,98.0
PyData Piraeus,https://www.meetup.com/PyData-Piraeus,PyData-Piraeus,507,Piraieús,4.6,Piraeus,37.9431594,23.6470593,Ελλάς,10,5.0,Vladimir Iurcovschi,2025-11-14T16:00:00+02:00[Europe/Athens],False,https://www.meetup.com/PyData-Piraeus/events/,https://www.meetup.com/PyData-Piraeus/members/?op=leaders,123.0
PyData Athens,https://www.meetup.com/PyData-Athens,PyData-Athens,1240,Athens,4.6,"Athens, Greece",37.9755648,23.7348324,Ελλάς,24,,John Doxaras,2025-12-09T10:30:00+02:00[Europe/Athens],False,https://www.meetup.com/PyData-Athens/events/,https://www.meetup.com/PyData-Athens/members/?op=leaders,98.0
PyData Turkiye,https://www.meetup.com/pydata-turkiye,pydata-turkiye,465,Istanbul,4.9,Turkiye,39.294076,35.2316631,Türkiye,4,4.0,Hasan Özdemir,2025-11-27T13:00:00+03:00[Europe/Istanbul],True,https://www.meetup.com/pydata-turkiye/events/,https://www.meetup.com/pydata-turkiye/members/?op=leaders,110.0
PyData Buenos Aires,https://www.meetup.com/pydata-buenos-aires,pydata-buenos-aires,549,Buenos Aires,4.9,Buenos Aires,-34.6095579,-58.3887904,Argentina,12,3.0,Javier Martinez,2025-12-09T10:30:00-03:00[America/Argentina/Buenos_Aires],False,https://www.meetup.com/pydata-buenos-aires/events/,https://www.meetup.com/pydata-buenos-aires/members/?op=leaders,98.0
PyData Cyprus,https://www.meetup.com/PyData-Cyprus,PyData-Cyprus,1008,Lemesos,4.8,Cyprus,34.9174159,32.8899027,Κύπρος - Kıbrıs,43,6.0,Argyrou Argyris,2025-12-09T10:30:00+02:00[Asia/Nicosia],False,https://www.meetup.com/PyData-Cyprus/events/,https://www.meetup.com/PyData-Cyprus/members/?op=leaders,98.0
PyData Yerevan,https://www.meetup.com/pydata-yerevan,pydata-yerevan,480,Yerevan,4.8,Yerevan,40.1777112,44.5126233,Հայաստան,30,5.0,Habet,2026-02-28T15:00:00+04:00[Asia/Yerevan],False,https://www.meetup.com/pydata-yerevan/events/,https://www.meetup.com/pydata-yerevan/members/?op=leaders,17.0
PyData Lagos,https://www.meetup.com/pydata-lagos,pydata-lagos,3276,Lagos,4.6,Lagos,6.4550575,3.3941795,Nigeria,19,5.0,"NumFOCUS, Inc.",2026-02-28T15:00:00+01:00[Africa/Lagos],True,https://www.meetup.com/pydata-lagos/events/,https://www.meetup.com/pydata-lagos/members/?op=leaders,17.0
PyData Kaduna,https://www.meetup.com/PyData-Kaduna,PyData-Kaduna,461,Kaduna,,Kaduna,10.5182899,7.4359863,Nigeria,10,3.0,Sanusi Dabo Lawal,2025-12-09T10:30:00+01:00[Africa/Lagos],False,https://www.meetup.com/PyData-Kaduna/events/,https://www.meetup.com/PyData-Kaduna/members/?op=leaders,98.0
PyData Abuja,https://www.meetup.com/pydata-abuja,pydata-abuja,59,Abuja,,Abuja,9.0643305,7.4892974,Nigeria,2,3.0,Dele Amefo,2025-04-22T16:00:00+01:00[Africa/Lagos],False,https://www.meetup.com/pydata-abuja/events/,https://www.meetup.com/pydata-abuja/members/?op=leaders,329.0
PyData Tel Aviv,https://www.meetup.com/pydata-tel-aviv,pydata-tel-aviv,9304,Tel Aviv-Yafo,4.5,Tel Aviv,32.0852997,34.7818064,ישראל,69,5.0,Iddo Berger,2025-12-09T10:30:00+02:00[Asia/Jerusalem],False,https://www.meetup.com/pydata-tel-aviv/events/,https://www.meetup.com/pydata-tel-aviv/members/?op=leaders,98.0
PyData Bauchi,https://www.meetup.com/pydata-bauchi,pydata-bauchi,30,Bauchi,,Bauchi,10.3147618,9.8454417,Nigeria,0,,Emmanuel Dauda,,False,https://www.meetup.com/pydata-bauchi/events/,https://www.meetup.com/pydata-bauchi/members/?op=leaders,
PyData Warri,https://www.meetup.com/pydata-warri,pydata-warri,101,Warri,,Warri,5.5186186,5.7480196,Nigeria,0,,Fatimo Ajiboye,,False,https://www.meetup.com/pydata-warri/events/,https://www.meetup.com/pydata-warri/members/?op=leaders,
PyData Ughelli,https://www.meetup.com/pydata-ughelli,pydata-ughelli,59,Ughelli,,Ughelli,5.494188,5.995321,Nigeria,1,,"NumFOCUS, Inc.",2025-12-09T10:30:00+01:00[Africa/Lagos],False,https://www.meetup.com/pydata-ughelli/events/,https://www.meetup.com/pydata-ughelli/members/?op=leaders,98.0
PyData Kuwait,https://www.meetup.com/kuwait-pydata-meetup-group,kuwait-pydata-meetup-group,126,al-Kuwayt,,Kuwait,29.2733964,47.4979476,الكويت,7,5.0,,2025-12-09T10:30:00+03:00[Asia/Kuwait],False,https://www.meetup.com/kuwait-pydata-meetup-group/events/,https://www.meetup.com/kuwait-pydata-meetup-group/members/?op=leaders,98.0
PyData Riyadh,https://www.meetup.com/PyDataRiyadh,PyDataRiyadh,3144,Riyadh,4.7,Riyadh,23.333333,45.333333,السعودية,29,12.0,Abdulelah Al Mesfer,2025-08-06T16:00:00+03:00[Asia/Riyadh],False,https://www.meetup.com/PyDataRiyadh/events/,https://www.meetup.com/PyDataRiyadh/members/?op=leaders,223.0
PyData Taipei,https://www.meetup.com/pydata-taipei,pydata-taipei,20,Taipei,,Taipei,25.0375198,121.5636796,臺灣,3,,"NumFOCUS, Inc.",2026-02-19T07:00:00+08:00[Asia/Taipei],False,https://www.meetup.com/pydata-taipei/events/,https://www.meetup.com/pydata-taipei/members/?op=leaders,27.0
PyData Jalandhar,https://www.meetup.com/PyData-Jalandhar,PyData-Jalandhar,887,Jalandhar,4.2,Jalandhar,31.2922312,75.5678878,India,11,,Suraj Mani,2025-12-09T10:30:00+05:30[Asia/Kolkata],False,https://www.meetup.com/PyData-Jalandhar/events/,https://www.meetup.com/PyData-Jalandhar/members/?op=leaders,98.0
PyData Dubai meetup,https://www.meetup.com/pydata-dubai-meetup,pydata-dubai-meetup,1365,Dubai,4.8,"Dubai, UAE",25.0742823,55.1885387,الإمارات العربية المتحدة,14,6.0,"NumFOCUS, Inc.",2025-12-09T10:30:00+04:00[Asia/Dubai],False,https://www.meetup.com/pydata-dubai-meetup/events/,https://www.meetup.com/pydata-dubai-meetup/members/?op=leaders,98.0
PyData Delhi,https://www.meetup.com/PyDataDelhi,PyDataDelhi,8943,Delhi,4.6,Delhi,28.6138954,77.2090057,India,60,6.0,Sanket Verma,2025-12-09T10:30:00+05:30[Asia/Kolkata],False,https://www.meetup.com/PyDataDelhi/events/,https://www.meetup.com/PyDataDelhi/members/?op=leaders,98.0
PyData Kathmandu,https://www.meetup.com/PyData-Kathmandu,PyData-Kathmandu,517,Kathmandu,,Kathmandu,27.708317,85.3205817,नेपाल,5,3.0,Raj Kumar,2025-12-09T10:30:00+05:45[Asia/Kathmandu],False,https://www.meetup.com/PyData-Kathmandu/events/,https://www.meetup.com/PyData-Kathmandu/members/?op=leaders,98.0
